PC,Autovalor,% Variância,% Variância Acumulada,RMSEC,RMSECV
PC1,3.0303350692229194,27.54426044142342,27.54426044142342,0.870652864795461,0.8709127751085564
PC2,2.4942099290112663,22.671145702012367,50.21540614343578,0.8260755861044539,0.826419900549104
PC3,1.5565865384915532,14.148608664196239,64.36401480763202,0.8043657979941631,0.8047753418896088
PC4,0.9707014863185915,8.823200715191023,73.18721552282305,0.7913720194092505,0.7918533354591311
PC5,0.7199857341349203,6.544317417745869,79.73153294056891,0.7759966651137723,0.7766619842740643
PC6,0.607405200992395,5.521015553537432,85.25254849410635,0.7657752342763061,0.7666258589675471
PC7,0.5232392987309248,4.755988756427562,90.00853725053392,0.7619969267474316,0.7629853573385965
PC8,0.5015874932759342,4.55918445761046,94.56772170814438,0.7546744461255224,0.7556327885760913
PC9,0.3370759271725423,3.063854958110504,97.63157666625489,0.7352139034664886,0.7363898727457859
PC10,0.22773081614706703,2.0699614950835303,99.7015381613384,0.7351323595214156,0.7364646509287455
PC11,0.032835856255584876,0.29846183866159104,100.0,0.7346532973303374,0.7360894821153268
