PC,Autovalor,% Variância,% Variância Acumulada,RMSEC,RMSECV,Selecionado
PC1,19685.056605194946,27.626715638630344,27.626715638630344,0.8706521815598873,0.870912094329766,Sim
PC2,16202.387701950858,22.739012982594616,50.36572862122496,0.8260748403631424,0.8264191536301635,Sim
PC3,10111.586154703022,14.19096327504442,64.55669189626938,0.8043654315110116,0.8047749762340856,Sim
PC4,6305.676853641797,8.849613432083398,73.40630532835279,0.7913711135805982,0.7918524281526071,Sim
PC5,4677.027327056365,6.563908176143644,79.97021350449643,0.775994929908088,0.7766602538507498,Sim
PC6,3945.704183973241,5.537543003864946,85.50775650836137,0.7657763921793783,0.7666270178207163,Sim
PC7,3398.9624679326143,4.770226037509614,90.27798254587098,0.7620010025783459,0.7629895104200625,Sim
PC8,3258.312377276592,4.572832647333837,94.85081519320482,0.7546737328619962,0.7556320749083101,Sim
PC9,2189.6452233216887,3.073026770887178,97.92384196409199,0.7352138244478944,0.7363897972694835,Sim
PC10,1479.3393826746483,2.0761580359080067,100.0,0.7351323587002595,0.7364646503410855,Não
